AR,count
"TMX1>HSP90AB1,+",1
"NFATC3>HSP90AB1,+",1
"NET1>HSP90AB1,+",1
"WWC2>CLIC2,-",1
"NET1>CLIC2,+",1
"RPL22>ANAPC13,+",1
"WWC2>SF3A3,+",1
"NLRP1>SF3A3,-",1
"LAPTM4B>SF3A3,+",1
"HNRNPUL1>SF3A3,+",1
"VPS13C>ERAP2,+",1
"CLIC2>CPT1A,+",1
"RAD21>SPCS3,+",1
"PKP4>NLRP1,+",1
"NUCB1>NLRP1,+",1
"ERAP2>NLRP1,+",1
"WWC2>NLRP1,+",1
"PROCR>CALHM2,+",1
"AGPAT2>CYSTM1,+",1
"PKP4>CYSTM1,+",1
"SF3A3>HNRNPUL1,+",1
"NET1>ANAPC13,+",1
"BRK1>JAM2,+",1
"RPL22>JAM2,+",1
"RPL22>PLK2,+",1
"LPAR6>PLK2,+",1
"HMGB2>NUCB1,+",1
"NUTM2B-AS1>MPRIP,+",1
"S100A13>SPCS3,+",1
"PRMT2>SPCS3,+",1
"ARF5>SPCS3,+",1
"RAD21>TES,+",1
"CENPC>PCYOX1,+",1
"LAPTM4B>SMIM14,+",1
"PCYOX1>CENPC,+",1
"MRPS26>CLN5,+",1
"ERAP2>CLN5,+",1
"PCYOX1>CLN5,+",1
"NET1>CLN5,-",1
"WWC2>AGPAT2,-",1
"NFATC3>NET1,+",1
"HSP90AB1>NEAT1,+",1
"SMIM14>HNRNPUL1,-",1
"PKP4>HNRNPUL1,-",1
"CD74>HLA-DQA2,+",1
"TIMP2>AR,+",1
"EDF1>ATP6AP2,+",1
"ZBTB38>BDP1,-",1
"LRRC8C>BDP1,+",1
"HBP1>BDP1,+",1
"BDP1>AR,-",1
"NFATC3>TMEM43,+",1
"SEPT10>TMEM43,+",1
"LAMC1>NDUFA8,-",1
"JAM2>NDUFA8,+",1
"UBE2Q1>ATN1,+",1
"EGLN1>CCT7,+",1
"NORAD>CCT7,+",1
"SEPT10>MYOF,+",1
"CSDE1>MYOF,+",1
"CD74>EGLN1,+",1
"ATN1>SPPL2A,+",1
"CDC42EP5>HSPG2,+",1
"EGLN1>HSPG2,+",1
"C8orf59>JAM2,+",1
"SLC25A37>JAM2,+",1
"ARPC3>SELE,-",1
"YPEL5>MAZ,+",1
"SEPT10>HEBP1,+",1
"MAZ>HEBP1,+",1
"EIF3J>ARPC3,+",1
"AR>BDP1,-",1
"CYB5R1>PLK2,+",1
"CLDN5>ATP6AP2,+",1
"CALHM2>PLK2,+",1
"PKP4>CALHM2,+",1
"CYB5R1>CALHM2,+",1
"HNRNPA3>CALHM2,+",1
"SELE>CALHM2,+",1
"ARFGAP3>CALHM2,+",1
"SCP2>PRPF38A,+",1
"ZNF451>SELE,-",1
"BTN3A3>SELE,+",1
"IFI44L>SELE,+",1
"ARFGAP3>HSPA1A,+",1
"IFI44L>HSPA1A,+",1
"SELE>HSPA1A,-",1
"BTN3A3>MPRIP,+",1
"LRRC8C>MPRIP,+",1
"PKP4>FXR1,+",1
"IFI44L>FXR1,+",1
"BDP1>FXR1,-",1
"HBP1>CTSB,+",1
"CYB5R1>CTSB,-",1
"ZBTB38>WBP2,+",1
"SCP2>NDUFC2,+",1
"HBP1>ATP6AP2,+",1
"ZNF451>ATP6AP2,+",1
"NET1>ALG13,+",1
"NORAD>EDN1,-",1
"CDC42EP5>EDN1,+",1
"LASP1>EDN1,+",1
"NDUFA8>FZD4,+",1
"EGLN1>FZD4,+",1
"JAM2>NET1,+",1
"SPPL2A>AR,+",1
"MAZ>AR,+",1
"C8orf59>TAOK2,+",1
"MGST2>TAOK2,+",1
"GALNT1>ABHD17A,+",1
"YPEL2>ABHD17A,-",1
"GPATCH8>CCDC68,+",1
"C8orf59>CCDC68,+",1
"NLRP1>CCDC68,+",1
"SNX6>IRF2BP2,+",1
"FOS>IRF2BP2,+",1
"PSMD11>TCP1,+",1
"FOS>TCP1,+",1
"MGST2>SNX6,+",1
"GALNT1>AHNAK,+",1
"GPATCH8>AHNAK,+",1
"NLRP1>U2SURP,+",1
"SELE>U2SURP,+",1
"USP16>MGST2,+",1
"YPEL2>ATP5MF,-",1
"SEPT10>WBP2,+",1
"CDC42EP5>SLC25A37,+",1
"ARPC3>FNBP1,+",1
"NORAD>LASP1,+",1
"BAZ2A>GNB1,+",1
"NFATC3>GNB1,+",1
"FNBP1>HNRNPUL1,+",1
"UBE2Q1>SQSTM1,+",1
"EGLN1>EPS15,+",1
"JAM2>TMEM70,+",1
"CD74>TMEM70,+",1
"KIF1B>TMEM70,-",1
"SEPT10>ZMYM4,+",1
"EDN1>LASP1,+",1
"JAM2>C8orf59,+",1
"RBMS3>FNBP1,+",1
"CCT7>NORAD,+",1
"SPPL2A>CD74,-",1
"SEPT10>CD74,+",1
"HNRNPUL1>KIF1B,+",1
"JAM2>EIF3J,-",1
"ALG13>UBE2K,-",1
"NFATC3>UBE2K,-",1
"HSPG2>UBE2K,+",1
"CAVIN1>BAZ2A,-",1
"GNB1>BAZ2A,+",1
"HBP1>ZBTB38,+",1
"PKP4>ZBTB38,-",1
"CAPRIN1>SDCCAG8,+",1
"RBPMS>ATP2B1,+",1
"NME1>XRN2,+",1
"TXNDC17>XRN2,+",1
"EDF1>XRN2,-",1
"ATP6AP2>EXOC5,+",1
"ELOC>EXOC5,-",1
"CLDN5>ZNF22,+",1
"SEMA4C>HNRNPUL1,+",1
"MYOF>HNRNPUL1,+",1
"SNX1>ARHGEF1,-",1
"BAZ2A>ARHGEF1,+",1
"ZNF22>EGLN1,+",1
"ZNF22>ARCN1,+",1
"EGLN1>ARCN1,-",1
"ELOC>ARCN1,-",1
"NUB1>ARCN1,+",1
"PCBD1>PRR13,-",1
"LASP1>PRR13,+",1
"EGLN1>BAZ2A,+",1
"MAZ>BAZ2A,+",1
"NUB1>SELE,-",1
"SEMA4C>ATP2B1,-",1
"LASP1>ATP2B1,-",1
"EGLN1>ATP2B1,+",1
"STAT3>TMBIM6,+",1
"AR>TMBIM6,-",1
"LASP1>TMBIM6,-",1
"EGLN1>NME1,-",1
"BAZ2A>LASP1,+",1
"TGFBR3>RBPMS,-",1
"EGLN1>RBPMS,+",1
"ARCN1>CCT2,-",1
"RBPMS>CCT2,+",1
"SNTB2>CCT2,+",1
"EXOC5>UBAP2L,-",1
"BAZ2A>UBAP2L,+",1
"ZNF22>UBAP2L,+",1
"ATP2B1>NME1,+",1
"ZNF22>NME1,+",1
"EDF1>CNTNAP3B,+",1
"UPF3A>NME1,+",1
"ARCN1>ELOC,-",1
"UPF3A>SNX1,+",1
"AR>SNX1,-",1
"LASP1>CD74,+",1
"HLA-DQA2>CD74,+",1
"ARCN1>MRPS26,-",1
"TXNDC17>MRPS26,-",1
"RBPMS>MRPS26,+",1
"EGLN1>SEMA4C,+",1
"ARCN1>ATP2B1,+",1
"ELOC>ATP2B1,-",1
"NET1>SDCCAG8,+",1
"ARCN1>COPZ1,-",1
"BTN3A3>RUNX1T1,+",1
"SELE>RUNX1T1,-",1
"ZNF451>TSC22D1,+",1
"G3BP1>ZNF22,-",1
"TSR3>ZNF22,+",1
"LASP1>SFSWAP,-",1
"ARFGAP3>IFI44L,+",1
"CALHM2>IFI44L,+",1
"NET1>IFI44L,+",1
"SELE>IFI44L,+",1
"PKP4>CYB5R1,+",1
"NET1>CYB5R1,+",1
"HBP1>IMPDH2,-",1
"SELE>IMPDH2,+",1
"MPRIP>ATP5MF,-",1
"ZBTB38>LASP1,+",1
"CYB5R1>CXorf36,+",1
"ARFGAP3>NAPRT,-",1
"ZBTB38>NAPRT,-",1
"IMPDH2>NET1,+",1
"HNRNPA3>NET1,+",1
"CALHM2>BTN3A3,+",1
"MAX>SDCCAG8,+",1
"CALHM2>PKP4,+",1
"MPRIP>HBP1,+",1
"BDP1>UPF3A,+",1
"MAX>ARFGAP3,+",1
"SNX1>COPZ1,+",1
"MAZ>COPZ1,+",1
"PCBD1>RBM17,+",1
"HNRNPUL1>NBEAL1,+",1
"PCBD1>NBEAL1,-",1
"ARCN1>MPRIP,+",1
"AR>MPRIP,+",1
"ARHGEF1>KLF7,+",1
"ARCN1>KLF7,-",1
"CALHM2>LRRC8C,-",1
"NET1>ARFGAP3,+",1
"ARFGAP3>G3BP1,+",1
"CTSB>ARFGAP3,+",1
"SCP2>ARFGAP3,+",1
"CAPRIN1>PSAP,+",1
"ZBTB38>ACVRL1,+",1
"CAPRIN1>ZNF451,+",1
"MPRIP>HNRNPA3,+",1
"ZNF22>PSMD1,+",1
"SCP2>PSMD1,+",1
"BTN3A3>PAXX,+",1
"ZNF22>G3BP1,-",1
"EDF1>HNRNPUL1,+",1
"THAP12>IMP3,+",1
"LAMTOR5>OTUD6B-AS1,-",1
"NCBP2>TEAD2,+",1
"MOB1A>AR,+",1
"ALG13>AR,+",1
"PRKAR1A>NME1,+",1
"CD164>NME1,+",1
"SNRPE>NME1,+",1
"MEIS2>XRN1,+",1
"PABPN1>FBXO7,+",1
"SNRPE>FBXO7,+",1
"TLE1>FBXO7,-",1
"TMEM101>FBXO7,+",1
"SELE>COA1,-",1
"SOCS2>TEAD2,+",1
"HNRNPA1>CAMTA1,+",1
"ATP6AP2>PABPN1,+",1
"PRKAR1A>SYF2,+",1
"MVB12A>SYF2,+",1
"MVB12A>KLF2,-",1
"PLEKHA1>SNRPE,-",1
"SREK1>SNRPE,+",1
"FBXO7>REEP5,-",1
"ELOC>REEP5,+",1
"SREK1>REEP5,-",1
"NCBP2>KLF4,+",1
"SNRPE>TLE1,+",1
"GLUD1>AR,+",1
"PRDX1>PTMS,+",1
"NAA38>ALG13,-",1
"NAP1L4>NDUFC2,+",1
"MRPL32>GLUD1,+",1
"NAA38>GLUD1,+",1
"NAP1L4>SNX6,+",1
"CSDE1>SNX6,+",1
"SPCS3>PRDX1,+",1
"PHB>DDT,+",1
"SCOC>SELE,+",1
"PON2>SELE,-",1
"MAZ>SELE,+",1
"CSDE1>SELE,+",1
"ALG13>SELE,+",1
"PRDX1>SELE,+",1
"NDUFC2>PHB,+",1
"CSDE1>PHB,+",1
"MAZ>PHB,+",1
"NFATC3>PHB,+",1
"SKAP2>PABPN1,-",1
"HEBP1>PDCD7,+",1
"HNRNPA1>SCOC,+",1
"ARL2BP>SCOC,+",1
"NAP1L4>RAB2A,+",1
"SLC30A1>RAB2A,+",1
"HNRNPA1>RAB2A,+",1
"COX7A2>TLE1,-",1
"FBXO7>TLE1,-",1
"MVB12A>TLE1,+",1
"COTL1>PRKAR1A,+",1
"MVB12A>MEIS2,+",1
"KLF4>MEIS2,+",1
"AR>COTL1,+",1
"MVB12A>COTL1,+",1
"RALGAPA1>ATP6AP2,+",1
"PRKAR1A>ATP6AP2,+",1
"SNRPE>SREK1,+",1
"ATP6AP2>SREK1,+",1
"DEK>THBD,+",1
"DEK>NCBP2,-",1
"COTL1>RAI14,+",1
"XRN1>RAI14,+",1
"SMAD4>MAZ,+",1
"BAG5>ACBD6,-",1
"CDC42EP5>ACBD6,+",1
"RALGAPA1>ACBD6,-",1
"SOCS2>ACBD6,-",1
"MVB12A>SFSWAP,+",1
"COA1>SELE,-",1
"RALGAPA1>SELE,-",1
"SNRPE>AR,+",1
"MAZ>TMEM219,+",1
"E2F4>PHF14,+",1
"ATP6AP2>PRKAR1A,+",1
"PLEKHA1>PRKAR1A,+",1
"WBP2>TLE1,-",1
"THBD>EIF5B,-",1
"WBP2>HNRNPUL1,+",1
"FBXO7>WBP2,+",1
"MVB12A>BAG5,-",1
"ATP6AP2>BAG5,+",1
"WBP2>BAG5,+",1
"DEK>ZNF302,+",1
"BAG5>RALGAPA1,-",1
"ZNF302>RALGAPA1,+",1
"PABPN1>RALGAPA1,-",1
"SELE>RALGAPA1,-",1
"ATP6AP2>PLEKHA1,-",1
"FBXO9>PEPD,+",1
"CEBPZOS>NCOA1,-",1
"DEK>EPHX1,+",1
"FBXO7>DEK,-",1
"COA1>DEK,-",1
"THBD>DEK,+",1
"COA1>FBXO9,-",1
"ATP6AP2>ARFRP1,+",1
"ELOC>ARFRP1,+",1
"NCOA1>SOCS2,+",1
"ATP6AP2>CDC42EP5,+",1
"SNRPE>CDC42EP5,+",1
"MAZ>CAMTA1,+",1
"KPNA4>ANAPC13,+",1
"WDR83OS>OTUD6B-AS1,+",1
"MDFIC>CTBS,-",1
"MDFIC>HDAC7,+",1
"CYB5R1>HDAC7,+",1
"SCAMP1>HDAC7,-",1
"SPG7>ALG13,+",1
"SHISA5>ALG13,-",1
"WBP2>MDFIC,+",1
"DUT>MAZ,+",1
"BAZ2A>MAZ,+",1
"NAP1L4>BAZ2A,+",1
"MIR99AHG>FAM69B,-",1
"ZFC3H1>CTBS,+",1
"SPG7>TTC14,+",1
"NAP1L4>ANAPC13,+",1
"CTBS>NAP1L4,+",1
"CAPRIN1>DUT,+",1
"SPG7>WBP2,+",1
"CYB5R1>WBP2,+",1
"NAP1L4>WBP2,-",1
"MDFIC>WBP2,+",1
"MMP24OS>ZFC3H1,+",1
"WBP2>ZFC3H1,+",1
"IFI16>ZFC3H1,+",1
"KNOP1>HNRNPUL1,+",1
"SUN2>MRPL32,+",1
"CYB5R1>SHISA5,+",1
"BAZ2A>B4GALT1,+",1
"MMP24OS>SCAMP1,-",1
"WBP2>PLRG1,+",1
"MMP24OS>MPDZ,-",1
"SCAMP1>CAPRIN1,-",1
"DUT>CAPRIN1,+",1
"CAPRIN1>MRPS26,+",1
"CTBS>CYB5R1,-",1
"DUT>CYB5R1,+",1
"SUN2>PHACTR2,+",1
"SUN2>MAGI1,-",1
"SERBP1>PLPBP,+",1
"AR>SPG7,+",1
"TTC14>SPG7,+",1
"SCAMP1>SPG7,+",1
"TTC14>NKAP,+",1
"CYB5R1>NKAP,+",1
"SERBP1>KNOP1,+",1
"SHISA5>TMEM245,+",1
"KNOP1>TMEM245,-",1
"NAP1L4>TMEM245,+",1
"SPG7>TMEM245,+",1
"PLPBP>MGAT1,-",1
"NKAP>MGAT1,+",1
"BAZ2A>MGAT1,+",1
"SPG7>MGAT1,-",1
"WBP2>MRPL32,+",1
"BAZ2A>MRPL32,+",1
"NAP1L4>AHI1,+",1
"SCOC>IGBP1,+",1
"MRPL32>IGBP1,+",1
"HNRNPA1>IGBP1,+",1
"MRPL32>ITGB4,+",1
"ADIRF>ITGB4,+",1
"PHB>CSDE1,+",1
"MAZ>CSDE1,-",1
"MRPL32>JUN,+",1
"HNRNPA1>NFATC3,+",1
"MRPL32>NFATC3,-",1
"SCOC>PON2,+",1
"SPCS3>PON2,+",1
"NFATC3>PON2,+",1
"NAP1L4>CFAP97,+",1
"HNRNPA1>CFAP97,+",1
"ITGB4>MOB1A,+",1
"SLC30A1>MOB1A,-",1
"NAP1L4>CARD8,+",1
"ARL2BP>CARD8,-",1
"ARL2BP>SPCS3,+",1
"PRDX1>SPCS3,+",1
"NFATC3>FAM241A,+",1
"HNRNPA1>RPS17,+",1
"ITGB4>ADIRF,+",1
"ARL2BP>IGBP1,+",1
"SELE>SKAP2,+",1
"ZFC3H1>AHI1,+",1
"SLC30A1>ARL2BP,+",1
"AR>MED10,+",1
"PLPBP>MIR99AHG,+",1
"NAP1L4>MIR99AHG,-",1
"PLPBP>FAM160B1,-",1
"NAP1L4>MMP24OS,+",1
"MRPS26>TMEM43,+",1
"SUN2>CD74,+",1
"CXorf36>CD74,+",1
"PLRG1>IFI16,-",1
"CYB5R1>IFI16,+",1
"TTC14>AR,-",1
"SNX6>CHMP1B,+",1
"COPS8>IGFBP4,-",1
"ADIRF>IGFBP4,+",1
"MAZ>NAA38,+",1
"CSDE1>SLC30A1,+",1
"MRPL32>SLC30A1,+",1
"HNRNPA1>SLC30A1,+",1
"PRDX1>SLC30A1,+",1
"DDT>SLC30A1,+",1
"ARL2BP>SLC30A1,+",1
"SNX6>SLC30A1,+",1
"NFATC3>ARL2BP,-",1
"CEP290>SETD5,+",1
"NME1>SETD5,-",1
"PHF14>MYOF,-",1
"FLNA>SIAH1,+",1
"PIN4>SELE,-",1
"PCYOX1>SELE,+",1
"ZNF148>SELE,+",1
"M6PR>SELE,-",1
"CCDC90B>AR,+",1
"HOXD8>AR,-",1
"PPP3CA>THAP12,+",1
"EP300>THAP12,+",1
"ARCN1>SIAH1,+",1
"LTA4H>SIAH1,+",1
"AR>SIAH1,+",1
"PPP3CA>SIAH1,-",1
"CEP290>MYOF,+",1
"EIF3J>HIPK3,+",1
"C9orf78>HIPK3,+",1
"EXOC6>FZD4,-",1
"SIAH1>FZD4,+",1
"TES>FZD4,-",1
"HNRNPA3>TMEM101,+",1
"SIAH1>TMEM101,+",1
"ARCN1>TMEM101,+",1
"C9orf78>TMEM101,-",1
"EIF3J>TMEM101,-",1
"TMEM101>HNRNPA3,+",1
"PDCD7>WBP2,+",1
"M6PR>WBP2,-",1
"EIF3D>ATP6AP2,+",1
"AR>MOB2,-",1
"AR>FAM208B,+",1
"M6PR>FAM208B,+",1
"NME1>RB1CC1,-",1
"CAMSAP2>RB1CC1,+",1
"SRI>A4GALT,+",1
"EGFL7>CCDC90B,-",1
"NME1>CAPRIN1,+",1
"CCDC90B>PDCD7,+",1
"A4GALT>PDCD7,+",1
"KIF1B>EIF3D,+",1
"HOXD8>EIF3D,-",1
"CCDC90B>EIF3D,+",1
"UBR5>EIF3D,+",1
"ATP2B4>NLRP1,+",1
"PCYOX1>SP110,+",1
"SRI>SP110,-",1
"CNP>RPS6KA3,-",1
"ZMYM4>RPS6KA3,+",1
"A4GALT>RPS6KA3,+",1
"ARCN1>KIF1B,+",1
"CCDC90B>KIF1B,+",1
"RB1CC1>KIF1B,+",1
"NME1>MOB2,+",1
"TES>HNRNPA3,+",1
"C9orf78>HNRNPA3,+",1
"IMP3>PPP3CA,+",1
"PPP3CA>ANKRD40,+",1
"LTA4H>ATL3,+",1
"ARCN1>EXOC6,+",1
"C9orf78>EXOC6,+",1
"HNRNPA3>TES,+",1
"AR>HOXB7,+",1
"C9orf78>HOXB7,+",1
"TES>UGP2,+",1
"LTA4H>PDGFB,+",1
"FNBP1>PDGFB,+",1
"SIAH1>PKP4,+",1
"HIPK3>PKP4,+",1
"HOXB7>PKP4,+",1
"ARCN1>KNOP1,-",1
"LTA4H>KNOP1,+",1
"TNS2>IFI16,+",1
"FLNA>CXorf36,+",1
"STX12>CXorf36,+",1
"HIPK3>SELE,+",1
"G3BP1>SELE,+",1
"RAB5A>AR,+",1
"MAZ>SLC25A29,+",1
"ZEB1>SLC25A29,+",1
"GOLGA8A>LEPR,+",1
"SIAH1>ANKRD40,-",1
"THAP12>ANKRD40,+",1
"THAP12>PPP3CA,+",1
"PPP3CA>RAB5A,-",1
"HOXB7>PPP3CA,+",1
"HIPK3>LTA4H,+",1
"IMP3>FNBP1,+",1
"LTA4H>FNBP1,+",1
"PPP3CA>FNBP1,+",1
"FLNA>RAI14,+",1
"TNS2>RAI14,+",1
"PLK2>BAZ2A,+",1
"LTA4H>BAZ2A,+",1
"IMP3>BAZ2A,+",1
"C9orf78>ADGRL4,+",1
"FNBP1>ADGRL4,+",1
"SIAH1>FLNA,+",1
"ATL3>FLNA,+",1
"THAP12>EPRS,+",1
