ERG,count
"AGFG1>ERG,+",1
"SLC38A2>FAM171A1,+",1
"TMED10>TRIP11,+",1
"GPATCH8>CENPC,+",1
"NACA>RPL6,+",1
"ERG>HECTD1,+",1
"EIF4B>MTPN,+",1
"KANSL1>ENO1,+",1
"ENO1>CTNNB1,+",1
"AP2B1>HECTD1,+",1
"MTPN>CTNNB1,+",1
"UPF3A>HECTD1,+",1
"NFIA>CTNNB1,+",1
"NACA>BTF3,+",1
"DDX5>BTF3,+",1
"CELF1>BTF3,+",1
"USP53>LSM8,+",1
"PLRG1>BTF3,+",1
"SLC38A2>ARPC1A,+",1
"MTPN>PSMC5,+",1
"ATP6V0E1>JMJD1C,+",1
"LAMTOR4>CIAO1,-",1
"EEF2>JMJD1C,+",1
"GHITM>CIAO1,+",1
"CNOT7>MTPN,-",1
"UQCRB>CASC4,+",1
"VEZF1>MTPN,+",1
"GPATCH8>FAM171A1,+",1
"RICTOR>ENO1,-",1
"VEZF1>CTNNB1,+",1
"HECTD1>CASC4,+",1
"CD151>CASC4,+",1
"TMEM141>ACVRL1,+",1
"PHC3>UBE2M,-",1
"CDC42BPA>MKLN1,+",1
"TXNDC17>PHC3,-",1
"EGFL7>DHRS3,+",1
"STOML2>NR5A2,+",1
"ACVRL1>GON4L,+",1
"AGFG1>IPO11,+",1
"PSMD8>IPO11,-",1
"ACVRL1>PCMTD1,+",1
"SZRD1>SCARF1,-",1
"KMT2A>SCARF1,+",1
"STOML2>PCMTD1,+",1
"STOML2>HLA-C,+",1
"CDC42BPA>PYURF,+",1
"EGFL7>SCARF1,+",1
"SCARF1>AHNAK,+",1
"UBE2M>USP8,+",1
"SCARF1>MFGE8,+",1
"YWHAB>TMEM141,+",1
"STOML2>MKLN1,+",1
"GON4L>USP8,+",1
"IPO11>USP8,+",1
"SCARF1>USP8,+",1
"IPO11>PSMD8,-",1
"ALDH2>PSMD8,+",1
"NR5A2>RAD21,+",1
"PHC3>RAD21,+",1
"STOML2>AGFG1,+",1
"KAT6B>LONP2,+",1
"ACVRL1>TMEM141,+",1
"SZRD1>LONP2,+",1
"PYURF>ACVRL1,+",1
"STOML2>PHC3,+",1
"PSMD8>GON4L,+",1
"FCHSD2>TIMP2,+",1
"PHC3>TIMP2,+",1
"CD151>ANKRD12,+",1
"AGFG1>MFGE8,+",1
"RPS21>ANKRD12,+",1
"UPF3A>ERG,+",1
"ALDH2>CALD1,+",1
"SCARF1>DNASE2,+",1
"TAX1BP1>DNASE2,+",1
"USP8>FCHSD2,+",1
"PHC3>CDC42BPA,+",1
"PYURF>TTC14,-",1
"LONP2>FAM171A1,+",1
"KAT6B>CTNND1,+",1
"TXNDC17>SZRD1,+",1
"PHC3>STOML2,+",1
"AGFG1>STOML2,+",1
"CTNND1>NASP,+",1
"ARRDC3>TTC14,+",1
"USP8>IFITM2,+",1
"NR5A2>EGFL7,+",1
"FCHSD2>IFITM2,+",1
"PHC3>IFITM2,+",1
"IPO11>KMT2A,+",1
"TXNDC17>KMT2A,+",1
"TM2D1>KMT2A,+",1
"SCARF1>EGFL7,+",1
"PHC3>KMT2A,+",1
"STOML2>KMT5A,+",1
"PYURF>TM2D1,+",1
"USP8>TM2D1,+",1
"VEZF1>TMEM141,+",1
"SLC38A2>LAMTOR4,+",1
"PLRG1>TGFB1I1,-",1
"PRKAR2A>KLHL5,+",1
"OCIAD1>HLA-B,+",1
"PRKAR2A>HLA-B,+",1
"TMX3>OCIAD1,+",1
"TMX3>GIMAP7,+",1
"OCIAD1>GIMAP7,+",1
"LTN1>PTPRK,+",1
"PSMB5>CD46,+",1
"MKL2>ZNF503,+",1
"ZNF326>ZNF503,+",1
"ECHS1>ZNF503,-",1
"KLHL5>TRIM38,+",1
"LTN1>TRIM38,+",1
"MMP24OS>ZNF326,-",1
"PRKAR2A>ZNF326,+",1
"MAP1LC3A>MYO6,+",1
"LTN1>TIAM1,+",1
"CD46>LTN1,+",1
"POLR2J>LTN1,+",1
"PHC3>HSBP1,+",1
"ECHS1>HSBP1,+",1
"MMP24OS>JCAD,+",1
"ZNF326>PRKAR2A,+",1
"ADGRL4>SPARCL1,+",1
"ACTR10>HMGN2,+",1
"MKL2>SPARCL1,+",1
"MRPS5>COPS2,+",1
"ZNF22>COPS2,+",1
"HMGN2>COPS2,+",1
"ACTR10>SFSWAP,+",1
"HMGN2>SFSWAP,+",1
"PURB>SFSWAP,+",1
"FCHSD2>SFSWAP,-",1
"SEC31A>SFSWAP,+",1
"ITSN2>PLRG1,+",1
"TMX4>PLRG1,+",1
"HLA-B>PLRG1,+",1
"SEC31A>NDUFB3,+",1
"HMGN2>DYNC1H1,+",1
"SFSWAP>SNRPD2,+",1
