gene,total_count
SUMO1,130.0197623518852
SEPT1,130.0005043238801
C11ORF58,129.97040581407302
UBL5,129.91181339100143
LBH,129.85514652757564
PNISR,129.8502384164784
CD48,129.81645431469772
DBI,129.66634612931503
CCDC107,129.58711766876584
ACAP1,129.53938785310845
YWHAZ,129.39233177231418
TCF25,129.3921969254729
LAMTOR4,129.27595383850613
CUTA,129.16352738764593
RBMX,129.1613064067514
ARPC1B,128.91792098505542
CYCS,128.86253710548155
EEF1G,128.76122966303163
REL,128.71059643200036
RSRC2,128.57979549005077
GUK1,128.5513456597301
CYTIP,128.53677819391172
HNRNPDL,128.4797434826997
CYBA,128.1452928178526
COX7B,128.02819454320831
COX7A2,127.78665652260894
ZFP36,127.62993485344728
IFI16,127.48913217113238
RAN,127.43103303625229
SAT1,127.41783230777034
YWHAB,127.30356649598706
CLEC2B,127.15133013899575
GPR171,126.99686953060883
SNRPN,126.9514860955039
UBE2B,126.77084073751868
POLR2L,126.76930290007498
COX6B1,126.73079059775648
LSM7,126.73052702456026
SLA,126.68317295451766
MPHOSPH8,126.55965797365383
CDC42,126.44434755508091
TRAPPC1,126.25475698553106
CCNI,126.23650307871551
JAK1,126.17834181504556
TMEM59,125.98859222378259
PSMA7,125.97244988754777
TUBA1B,125.84179205284569
EIF5,125.82112119974128
C9ORF16,125.77808363861166
SNU13,125.74519098061214
ATP5O,125.62278391407959
HIGD2A,125.51203520035025
CD247,125.36842943385972
SYF2,125.36548581884051
UQCR10,125.29404748402692
GABARAPL2,125.21505466430132
ATP5D,125.13675115499058
GPSM3,125.12520679011382
ENO1,125.03591997847425
DAZAP2,124.84920427736995
PNRC1,124.68591036531353
HSPA8,124.60784419562644
HNRNPA0,124.52548631833076
GIMAP4,124.49024678409606
TMEM50A,124.4841289145894
VAMP8,124.45430866916217
TSTD1,124.45333449179506
CAST,124.39600186822865
HMGB2,124.29601565605489
UCP2,124.20210016298938
NDUFS5,124.163275799947
SIT1,123.98409651483904
COX8A,123.91894977302586
TBCA,123.88193093768683
CD8B,123.86831372367563
GHITM,123.5586719295796
PAIP2,123.49747331006579
DYNLL1,123.48139817272384
ATPIF1,123.43315429024099
SPOCK2,123.41343315541522
RGCC,123.21131048370864
JCHAIN,122.98492842353853
ANKRD12,122.94979135749506
SNRPB2,122.88064297699266
C4ORF3,122.87343387363082
SERBP1,122.77777700353622
BCAS2,122.66381481724453
ALDOA,122.6321029537986
NDUFA4,122.59752286002976
SEC62,122.56832513462928
MBP,122.52095577813738
GYPC,122.38016567266297
SMDT1,122.34752434505356
CLK1,122.33377728399564
PRMT2,122.29740146713314
NEDD8,122.26688597630455
SS18L2,122.26490309566283
TXN,122.1527278302441
EZR,122.06451730484804
MORF4L1,122.05726057502139
DHRS7,121.89875358201166
LYAR,121.76356684439648
AKAP9,121.7188503286182
DNAJC8,121.69313274737854
SSB,121.68853706719206
RHOH,121.6700665373322
EIF3D,121.51612266660598
CHMP1B,121.48039568023175
HIST1H4C,121.45150727096804
PEBP1,121.4189981834934
ETS1,121.40325571660517
